"playerName","matches","innings","runs","average","strikeRate","year"
"Virender Sehwag","10","10","217","22","100","2012"
"Suresh Raina","17","17","492","41","97","2012"
"Virat Kohli","17","17","1,026","68","94","2012"
"MS Dhoni","16","14","524","66","88","2012"
"Ravichandran Ashwin","16","10","135","27","85","2012"
"Gautam Gambhir","16","16","685","43","82","2012"
"Sachin Tendulkar","10","10","315","32","81","2012"
"Ravindra Jadeja","10","8","105","18","72","2012"
"Rohit Sharma","14","13","168","13","67","2012"
