"playerName","matches","innings","runs","average","strikeRate","year"
"Virat Kohli","34","30","1,268","53","98","2013"
"MS Dhoni","26","20","753","63","96","2013"
"Suresh Raina","34","27","770","35","85","2013"
"Ravindra Jadeja","34","21","462","36","81","2013"
"Rohit Sharma","28","27","1,196","52","81","2013"
"Ravichandran Ashwin","29","16","167","13","81","2013"
"Yuvraj Singh","18","15","276","20","78","2013"
"Dinesh Karthik","15","12","255","32","70","2013"
"Gautam Gambhir","7","7","153","22","67","2013"
"Ajinkya Rahane","6","6","113","19","67","2013"
"Ambati Rayudu","4","3","101","51","62","2013"
