"playerName","matches","innings","runs","average","strikeRate","year"
"Shreyas Iyer","20","19","846","53","113","2023"
"Suryakumar Yadav","21","20","389","22","110","2023"
"Shubman Gill","29","29","1,584","63","105","2023"
"Virat Kohli","27","24","1,377","72","99","2023"
"Hardik Pandya","20","13","383","35","95","2023"
"Ishan Kishan","17","15","456","35","94","2023"
"Sanju Samson","5","4","180","45","91","2023"
"Sai Sudharsan","3","3","127","64","89","2023"
"KL Rahul","27","24","1,060","66","88","2023"
"Axar Patel","11","10","140","18","83","2023"
"Ravindra Jadeja","26","17","309","31","75","2023"
