"playerName","matches","innings","runs","average","strikeRate","year"
"Yusuf Pathan","14","13","282","24","121","2011"
"Suresh Raina","29","27","722","31","100","2011"
"MS Dhoni","24","22","764","59","90","2011"
"Sachin Tendulkar","11","11","513","47","89","2011"
"Gautam Gambhir","19","19","720","40","87","2011"
"Ravindra Jadeja","13","10","220","31","87","2011"
"Virat Kohli","34","34","1,381","48","86","2011"
"Rohit Sharma","16","16","611","56","83","2011"
"Yuvraj Singh","14","13","453","50","82","2011"
"Parthiv Patel","21","21","491","25","82","2011"
"Manoj Tiwary","5","5","163","41","81","2011"
"Ravichandran Ashwin","18","11","122","17","80","2011"
"Rahul Dravid","5","5","124","25","78","2011"
"Ajinkya Rahane","11","11","340","31","75","2011"
"Harbhajan Singh","17","11","107","13","67","2011"
