"playerName","matches","innings","runs","average","strikeRate","year"
"Hardik Pandya","6","5","119","24","134","2021"
"Prithvi Shaw","3","3","105","35","125","2021"
"Suryakumar Yadav","3","3","124","62","123","2021"
"Krunal Pandya","5","4","130","65","102","2021"
"KL Rahul","3","3","177","89","101","2021"
"Shikhar Dhawan","6","6","297","59","92","2021"
"Virat Kohli","3","3","129","43","87","2021"
