"playerName","matches","innings","runs","average","strikeRate","year"
"Shreyas Iyer","6","5","266","53","113","2019"
"Rishabh Pant","12","11","305","28","103","2019"
"Virat Kohli","26","25","1,377","60","96","2019"
"Ravindra Jadeja","15","9","206","34","96","2019"
"Kedar Jadhav","23","19","470","43","93","2019"
"Shikhar Dhawan","18","17","583","36","92","2019"
"Vijay Shankar","12","8","223","32","91","2019"
"Rohit Sharma","28","27","1,490","57","90","2019"
"MS Dhoni","18","16","600","60","82","2019"
"KL Rahul","13","13","572","48","81","2019"
"Ambati Rayudu","10","10","247","31","75","2019"
