"playerName","matches","innings","runs","average","strikeRate","year"
"Shikhar Dhawan","19","19","897","50","102","2018"
"Rohit Sharma","19","19","1,030","74","100","2018"
"Ambati Rayudu","11","10","392","56","91","2018"
"Ajinkya Rahane","6","5","140","35","77","2018"
"Dinesh Karthik","7","6","167","42","74","2018"
"MS Dhoni","20","13","275","25","71","2018"
"Bhuvneshwar Kumar","14","7","101","20","69","2018"
