"playerName","matches","innings","runs","average","strikeRate","year"
"Suresh Raina","17","16","539","39","115","2014"
"Ravindra Jadeja","17","14","369","62","110","2014"
"Virat Kohli","21","20","1,054","59","100","2014"
"Rohit Sharma","12","12","578","53","94","2014"
"MS Dhoni","12","10","418","52","92","2014"
"Robin Uthappa","5","5","104","26","88","2014"
"Shikhar Dhawan","18","18","815","48","87","2014"
"Ajinkya Rahane","24","24","768","32","81","2014"
"Ambati Rayudu","20","18","584","45","80","2014"
