"playerName","matches","innings","runs","average","strikeRate","year"
"Shikhar Dhawan","5","5","287","57","100","2016"
"Virat Kohli","10","10","739","92","100","2016"
"Rohit Sharma","10","10","564","63","95","2016"
"Ajinkya Rahane","9","8","284","36","84","2016"
"KL Rahul","3","3","196","196","83","2016"
"MS Dhoni","13","10","278","28","80","2016"
"Ambati Rayudu","3","2","103","0","63","2016"
