"playerName","matches","innings","runs","average","strikeRate","year"
"KL Rahul","9","9","443","55","106","2020"
"Ravindra Jadeja","9","7","223","56","99","2020"
"Shreyas Iyer","9","9","331","41","95","2020"
"Virat Kohli","9","9","431","48","92","2020"
"Shikhar Dhawan","6","5","290","58","91","2020"
"Rohit Sharma","3","3","171","57","91","2020"
