"playerName","matches","innings","runs","average","strikeRate","year"
"Stuart Binny","8","7","190","38","104","2015"
"Suresh Raina","20","17","517","32","99","2015"
"Rohit Sharma","17","17","815","51","95","2015"
"MS Dhoni","20","17","640","46","87","2015"
"Shikhar Dhawan","20","20","745","37","85","2015"
"Ravindra Jadeja","12","8","113","16","83","2015"
"Ambati Rayudu","7","7","267","45","81","2015"
"Virat Kohli","20","20","623","37","81","2015"
"Ajinkya Rahane","21","20","722","40","80","2015"
