"playerName","matches","innings","runs","average","strikeRate","year"
"Yusuf Pathan","12","8","281","47","122","2010"
"Virender Sehwag","12","12","446","41","109","2010"
"Suresh Raina","24","21","631","39","97","2010"
"Gautam Gambhir","14","14","670","56","94","2010"
"Rohit Sharma","15","14","504","39","86","2010"
"Parthiv Patel","2","2","109","109","86","2010"
"Virat Kohli","25","24","995","47","85","2010"
"MS Dhoni","18","17","600","46","79","2010"
"Ravindra Jadeja","21","13","334","30","78","2010"
"Dinesh Karthik","16","16","455","28","77","2010"
"Yuvraj Singh","15","14","349","32","70","2010"
"Murali Vijay","8","8","178","22","65","2010"
