"playerName","matches","innings","runs","average","strikeRate","year"
"Yuvraj Singh","27","27","893","39","100","2008"
"Suresh Raina","19","18","680","45","95","2008"
"Gautam Gambhir","27","27","1,119","47","91","2008"
"Sachin Tendulkar","12","12","460","42","84","2008"
"MS Dhoni","29","26","1,097","58","82","2008"
"Rohit Sharma","28","28","532","25","73","2008"
"Irfan Pathan","20","13","223","19","72","2008"
"Virat Kohli","5","5","159","32","67","2008"
"Robin Uthappa","13","11","179","20","65","2008"
